generic_name,total_cost15,numrx15,avg_cost15,total_cost14,numrx14,avg_cost14
EZETIMIBE,1026748865.1699955,2950306,348.0143636524467,875015112.7900041,3088974.0,283.27046870255435
BUDESONIDE/FORMOTEROL FUMARATE,994414653.0600026,3085330,322.30414673957165,769482015.8500097,2582525.0,297.95723791638403
LEVOTHYROXINE SODIUM,968174264.8099918,42731323,22.657249924370277,806002236.6499965,41192708.0,19.56662418625152
IMATINIB MESYLATE,959390508.5299995,99436,9648.321619232465,761105289.2999985,92719.0,8208.730565472002
CINACALCET HCL,838901271.5599989,794793,1055.4965526369745,661802658.2699963,700958.0,944.1402455924554
INSULIN LISPRO,819066929.3499925,1672796,489.6394595336147,728599376.5999987,1760779.0,413.79376775847436
DIMETHYL FUMARATE,767081712.8000038,120696,6355.485789089977,505995947.08000064,86323.0,5861.658504454209
APIXABAN,766124685.6000074,1965011,389.88315363120483,239473836.9899984,679961.0,352.1876063333021
HYDROCODONE/ACETAMINOPHEN,698911048.2900041,27794464,25.145692620300363,653897747.4700111,31595067.0,20.69619752570903
ATORVASTATIN CALCIUM,691983552.4600148,36888582,18.758746336739506,727509549.4400122,31123140.0,23.375197664503396
SOFOSBUVIR,685653587.6899996,24631,27837.017891681196,2393172676.4900045,84435.0,28343.372730384373
DULOXETINE HCL,680904281.8399959,7169690,94.96983577253631,1321302898.260003,6549044.0,201.75508032317435
CYCLOSPORINE,659231750.900002,1325013,497.52851549381177,508807394.66000104,1236445.0,411.5083118618305
QUETIAPINE FUMARATE,652147784.4100018,7318702,89.10702805087593,820563706.4800023,7030343.0,116.71744984277471
ALBUTEROL SULFATE,636494479.1700051,10793524,58.97003417697548,565383564.3099835,9957474.0,56.779818286242424
ABIRATERONE ACETATE,617333246.3500009,78577,7856.411498911906,542504534.7399997,75711.0,7165.465186564696
EMTRICITABINE/TENOFOVIR,615891280.9699999,442108,1393.0787974205396,598520918.7100011,447120.0,1338.6136131463613
METOPROLOL SUCCINATE,604339307.699999,17876460,33.8064307866322,664574613.4999964,16888503.0,39.35071175343347
PALIPERIDONE PALMITATE,593543270.1900005,363084,1634.7271435535592,475673411.3100001,315206.0,1509.0874263497526
ENZALUTAMIDE,590010617.9500002,67477,8743.87743897921,300674320.6500004,36482.0,8241.717028945792
OXYCODONE HCL/ACETAMINOPHEN,515536481.2699992,9306315,55.396414291800696,481059419.80000514,8434362.0,57.03566195048364
EFAVIRENZ/EMTRICITAB/TENOFOVIR,512696831.7200008,220042,2329.995326892142,500912747.13000166,231097.0,2167.5432702717976
LIRAGLUTIDE,510611786.85000247,697563,731.9937938938884,370266720.3800001,576483.0,642.28558410222
LURASIDONE HCL,484711996.9500008,541162,895.6874225278212,326209780.0099989,418776.0,778.9600645930018
SOLIFENACIN SUCCINATE,482624090.5800012,1598948,301.83851543640014,477453195.56999886,1790259.0,266.6950399746622
GABAPENTIN,481356060.01999044,23256837,20.697400081532603,477032014.340005,20706528.0,23.03775960605298
POTASSIUM CHLORIDE,466073956.81999284,16780422,27.774865067159386,481261547.4399942,16951636.0,28.39027144282677
FENTANYL,442255681.7900063,2757404,160.38842396326626,439275590.72999966,2767476.0,158.72787721736327
IBRUTINIB,435694722.8800005,47325,9206.438940940316,144768257.6100001,16238.0,8915.39953257791
DABIGATRAN ETEXILATE MESYLATE,431256528.5800011,1033760,417.1727756732715,434621279.4199964,1152150.0,377.22629815561896
OMEPRAZOLE,425974202.0000016,31795097,13.397480812843616,504505058.69000214,31369487.0,16.08266844433899
SITAGLIPTIN PHOS/METFORMIN HCL,420442783.9500004,980473,428.8162794385979,349907186.77000105,945545.0,370.05873519504735
AMBRISENTAN,412801568.57000107,54043,7638.391069518736,353426702.4699998,49255.0,7175.4482279971535
CELECOXIB,404845274.0599973,2490648,162.54616230796054,860573304.829995,2761677.0,311.61258352442917
RIVASTIGMINE,404408517.93999827,879525,459.803323316561,437207431.3900013,1161981.0,376.26039615966295
TAMSULOSIN HCL,401490090.8700034,12715970,31.573689688635895,268090032.49000278,11413581.0,23.48868707288298
PRAVASTATIN SODIUM,397903154.740002,13644277,29.162641211403283,421174123.2999983,13809058.0,30.49984461648277
BIMATOPROST,391825886.4199985,1922431,203.8179193011341,348528354.42000115,1990427.0,175.10230438996314
DIVALPROEX SODIUM,387921859.61000013,4325372,89.68520155260637,415801189.6800003,4219613.0,98.54012433841689
LINAGLIPTIN,381670746.24000275,943879,404.36406174944324,210819210.23000032,593975.0,354.92943344416904
DARUNAVIR ETHANOLATE,370731866.44999915,288816,1283.6264834704418,352619362.8399987,291779.0,1208.515221588938
DEXLANSOPRAZOLE,362069213.8800006,1353320,267.5414638666395,290611113.79000163,1300020.0,223.5435714758247
INSULIN ASPART PROTAM & ASPART,357742527.7200003,535407,668.1693136623173,,,
METFORMIN HCL,356278682.8600037,27609744,12.904092224107682,315795435.98999566,26070282.0,12.113234371227579
RALTEGRAVIR POTASSIUM,354015531.6200012,282882,1251.460084487529,360312788.0499985,304178.0,1184.5458516066203
IPRATROPIUM/ALBUTEROL SULFATE,350241051.950004,1777512,197.040049209234,367239986.8000024,1853695.0,198.11241158874702
VALSARTAN,346061912.0800036,3716115,93.12465090020186,882114310.6400106,4137994.0,213.17438126783426
LIDOCAINE,342745043.9000001,1040430,329.426337091395,554321731.4600017,1928621.0,287.4186952542784
RANOLAZINE,329290791.7399962,844530,389.9101177459607,284070751.7699997,786212.0,361.3157160791233
FINGOLIMOD HCL,319388074.7300003,48333,6608.074705273836,249664486.27,43628.0,5722.574637159622
OLMESARTAN MEDOXOMIL,315651257.90999794,1273061,247.946687480017,275121288.5899964,1344405.0,204.6416731490856
TERIPARATIDE,312815858.17000026,144592,2163.438213524955,260605694.24999988,154661.0,1685.012344741078
CANAGLIFLOZIN,308077486.42000043,681203,452.25503472533217,88337883.51000012,230658.0,382.98209257862345
MORPHINE SULFATE,305459797.9300038,3717585,82.16619066679144,315789115.8999977,3554736.0,88.83616558304125
BOSENTAN,304009912.4699999,35926,8462.114136558479,354024472.7600004,46440.0,7623.265993970724
MESALAMINE,300749063.30999964,451880,665.550728755421,258626946.38000017,449023.0,575.9770577008309
TRAVOPROST,297605100.1999988,1579059,188.46990530436088,262785375.97999787,1656061.0,158.68097611138592
ERLOTINIB HCL,294641713.98999965,46682,6311.677177284599,303073171.9199994,50698.0,5978.010413034033
DICLOFENAC SODIUM,292949781.70000076,3995732,73.31567324835619,239664551.5300018,3740060.0,64.0804028625214
CLOBETASOL PROPIONATE,285780730.1800021,1393763,205.04255757973348,124392169.68000059,1422250.0,87.46153607312398
FLUTICASONE PROPIONATE,283515670.6500026,10647872,26.62651003411786,323410156.7999945,9898732.0,32.6718772464993
LIPASE/PROTEASE/AMYLASE,273094452.83000004,428751,636.9535064174778,204338050.33000007,393660.0,519.0724237412998
NEBIVOLOL HCL,271346308.3899999,1682843,161.24279471703537,236511195.67000008,1882420.0,125.6420966999926
HYDROXYCHLOROQUINE SULFATE,265712797.3099988,1553731,171.01595920400558,53135571.23999991,1441043.0,36.87299493491861
RUXOLITINIB PHOSPHATE,256738787.62000012,26200,9799.190367175577,136126568.86999986,15136.0,8993.562953884768
CORTICOTROPIN,256415437.6700001,5897,43482.35334407328,193057458.51000008,4921.0,39231.34698435279
AMLODIPINE BESYLATE,255287339.1899977,36406248,7.012184809321678,293071952.7000007,34628631.0,8.463284404745908
MIRABEGRON,252679212.2699995,762207,331.50996024701885,136067743.44000015,459268.0,296.2708994312692
SIMVASTATIN,251432360.35999963,30264856,8.307733575867655,333731968.45000654,32555792.0,10.251078162988833
LACOSAMIDE,244675304.94999993,383820,637.4740892866446,192094772.9500002,322507.0,595.6297784234147
LISINOPRIL,243226320.52000046,37367555,6.509024219540199,270170600.7299967,36584756.0,7.38478618608244
TERIFLUNOMIDE,240529216.02000007,38990,6168.99758963837,133621171.33000016,24961.0,5353.1978418332665
ELVITEGR/COBICIST/EMTRIC/TENOF,237912141.65000018,89903,2646.3203858603183,155136860.9299999,60127.0,2580.153024930562
RISPERIDONE MICROSPHERES,231704673.63999945,262192,883.7213707512032,231100399.87999922,289083.0,799.42577003836
INSULIN NPH HUM/REG INSULIN HM,227036656.0600002,833196,272.48889344163945,203263511.61999917,892592.0,227.72275756448542
RIFAXIMIN,226478659.00999936,153601,1474.4608369086097,164539409.60999954,130514.0,1260.7031399696548
PALIPERIDONE,226277781.16000015,223996,1010.1867049411603,223710472.46000037,245055.0,912.8990327069448
POMALIDOMIDE,225092661.2199999,19373,11618.885109172556,148487609.87000003,13553.0,10956.069495314692
"ESTROGENS, CONJUGATED",223932604.79000142,1083766,206.62449716082753,229494387.42000028,1338423.0,171.46626098027326
TADALAFIL,220337198.9099995,230963,953.9934920744859,153065904.1799996,175411.0,872.6129158376589
RALOXIFENE HCL,220181420.75000003,1070381,205.70378281191466,240039426.39000025,959524.0,250.1651093563061
INSULIN LISPRO PROTAMIN/LISPRO,218449004.8699993,324142,673.9299593079554,,,
EVEROLIMUS,217778008.15999982,22002,9898.10054358694,187024152.64999986,20612.0,9073.556794585671
BRIMONIDINE TARTRATE,216572513.9300005,1923648,112.58427421752863,200414367.8899982,1891079.0,105.97884482350986
ATAZANAVIR SULFATE,214993773.9199998,163765,1312.8188191616023,244056135.93999955,197794.0,1233.8904918248256
DILTIAZEM HCL,212618372.82999983,5368603,39.604040907848805,220366574.00999495,5613929.0,39.2535377647268
CLOPIDOGREL BISULFATE,212338512.1699979,14032888,15.13149055062635,329995109.47000957,14216680.0,23.211826493246633
LOSARTAN POTASSIUM,208402069.3899991,19270670,10.814469314766901,249956525.02999508,17307629.0,14.441985382861805
WARFARIN SODIUM,207214969.9800016,15426878,13.432074200625792,189469210.25000277,16173609.0,11.714714399859844
COLESEVELAM HCL,199782474.84999943,405733,492.39888017489193,196482915.41000047,496422.0,395.7981624706409
MACITENTAN,198496192.0999998,26529,7482.234238003686,69399534.53999996,9729.0,7133.264933703357
OXYBUTYNIN CHLORIDE,196539901.90000138,4397678,44.69174457520568,194923127.89000013,4139325.0,47.090558941373324
DRONEDARONE HCL,189595653.57999983,325853,581.8441247433653,165254952.9800007,349404.0,472.9623959084633
DOLUTEGRAVIR SODIUM,187640815.2299998,128826,1456.5446045829244,92498930.47999993,66620.0,1388.4558763134182
BUPROPION HCL,187030111.81000254,4990421,37.47782237410482,173200853.77000204,4574786.0,37.85988104580237
BUPRENORPHINE HCL/NALOXONE HCL,186414953.85000044,615881,302.680150629749,174370106.38000003,548821.0,317.71762811554225
OLOPATADINE HCL,185767974.00000024,962086,193.0887405076056,150332835.89999983,927278.0,162.12272468450652
PIRFENIDONE,184827767.24000004,23358,7912.825038102579,87134.16,11.0,7921.287272727273
ABACAVIR SULFATE/LAMIVUDINE,184489784.65999946,152820,1207.2358634995385,203097889.21000025,176730.0,1149.1987167430557
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,182816028.83000007,79263,2306.448517341005,4549908.31,1963.0,2317.8340855832907
LINACLOTIDE,181667352.02999923,571002,318.15536903548366,88930622.67000003,330564.0,269.0269438595855
DUTASTERIDE,181012174.58000025,799208,226.48944277334593,243146745.5200016,1199601.0,202.68968225268367
BRIMONIDINE TARTRATE/TIMOLOL,180709555.860001,1065426,169.61248914518794,147452189.51999992,1012202.0,145.67466723045393
"INSULIN REGULAR, HUMAN",176782706.68000054,589535,299.86804291517984,162257594.76999912,655366.0,247.58317454674048
PANTOPRAZOLE SODIUM,176618808.56000343,12342762,14.309504514467948,175981125.81999826,10818831.0,16.266186783026583
FENOFIBRATE NANOCRYSTALLIZED,175306772.72999924,1900313,92.25152526452182,244042307.54999974,1930653.0,126.40402369043
OLMESARTAN/HYDROCHLOROTHIAZIDE,172228856.07000047,668950,257.4614785409978,160186764.18999967,751864.0,213.0528449161014
OXYMORPHONE HCL,169181391.3300001,363817,465.0178285511675,160500299.0900001,342639.0,468.42390705669845
NILOTINIB HCL,169072032.45999977,20093,8414.474317423967,126922756.17000002,16355.0,7760.4864671354335
LEVETIRACETAM,168378834.70999774,3218743,52.31198474373311,179886120.72999904,2975467.0,60.45643279861583
DONEPEZIL HCL,167920357.1699957,7934718,21.162737878018564,194654007.99000272,7869911.0,24.733952898578234
SAXAGLIPTIN HCL,165960493.58999994,397788,417.2083964071313,189985554.96999836,518501.0,366.4130926844854
DASATINIB,164077775.79,19030,8622.05863321072,122749414.04999992,15350.0,7996.70449837133
LUBIPROSTONE,163326110.04,577362,282.88337306577154,132443128.24999987,501677.0,264.00079782409773
PALBOCICLIB,161793813.92999998,16197,9989.122302278198,,,
MOMETASONE FUROATE,160798396.80000108,898744,178.91457055624414,198586911.1999998,1215988.0,163.3132162488444
EZETIMIBE/SIMVASTATIN,160428321.13999942,460614,348.29232533097,190019707.4999992,667707.0,284.5854656308818
TETRABENAZINE,155325498.8600001,17280,8988.744146990746,140595329.99999994,20017.0,7023.796273167804
METHOTREXATE SODIUM,154035201.1899988,2079351,74.07849910380634,152920548.1200011,1972332.0,77.53286369637622
RASAGILINE MESYLATE,152802305.61000067,224790,679.7557970105462,134021853.01000005,217350.0,616.6176812054292
PREDNISOLONE ACETATE,150834573.09999943,2416896,62.40838376992615,149454314.62000027,2344736.0,63.740359093731776
COLCHICINE,150329070.7199999,724362,207.53307147531194,211794869.4099999,982386.0,215.5923124006245
RITONAVIR,149494640.06000006,443049,337.4223619960773,167079813.9199993,488317.0,342.1544077310421
MOMETASONE/FORMOTEROL,147883085.25999904,468465,315.67584613578185,125148199.73999971,428752.0,291.88948329103937
ESTRADIOL,147862451.64000016,1937874,76.30137544546248,132915875.02999964,2089536.0,63.610234535322505
BUDESONIDE,147680678.65999943,302618,488.0102262918909,140259349.74000034,279985.0,500.9530858438857
TESTOSTERONE,147468876.02999988,224807,655.9799117910025,173595569.40000072,306987.0,565.4818262662612
DIGOXIN,145978069.18999845,3485451,41.88211774889346,174214522.9799993,4107217.0,42.41668336004631
"PEN NEEDLE, DIABETIC",145856850.37999937,3145279,46.37326303326331,,,
DALFAMPRIDINE,145145647.71999988,66538,2181.394807779012,109492428.2600001,55754.0,1963.8488406213023
CLOZAPINE,144988597.57000113,1159102,125.08700491415003,147495439.84000123,1142834.0,129.06112334774886
EMTRICITAB/RILPIVIRINE/TENOFOV,143642826.50000003,64042,2242.9472299428503,105009668.74000001,48805.0,2151.617021616638
INSULIN NPH HUMAN ISOPHANE,142683427.61999974,697627,204.52681392778624,124837728.71999988,712697.0,175.16241645467832
LAMOTRIGINE,141751879.39000064,3034102,46.71954976793814,132311380.48000096,2869745.0,46.10562279226934
MONTELUKAST SODIUM,140245645.6399995,7523304,18.641496560553648,191950935.7599977,6658101.0,28.829682181150105
ZOSTER VACCINE LIVE/PF,139399869.3300004,674173,206.77165850605172,165188678.7399992,846945.0,195.0406209848328
ENOXAPARIN SODIUM,137242109.83999944,370480,370.44404513063984,171116080.34999913,362219.0,472.41055921969615
TOLTERODINE TARTRATE,136339917.0300005,707211,192.7853455757907,122548601.54999974,644647.0,190.10187210985197
CARBAMAZEPINE,134669236.94000047,1335891,100.80855170070049,90549074.67000079,1346023.0,67.27156569390031
OLANZAPINE,134646616.1299985,2878325,46.77950409700034,314926599.8099982,2791248.0,112.82644888952835
VENLAFAXINE HCL,133826600.13000114,4628795,28.911757839783604,177451365.6899986,4356871.0,40.72908417302202
METOPROLOL TARTRATE,133708902.06999809,20339765,6.573768284441737,140091135.30000016,20244097.0,6.920098006841212
NINTEDANIB ESYLATE,133693370.06000005,16588,8059.64372196769,,,
FUROSEMIDE,131445727.02999924,26093778,5.0374356304403,129393435.08000126,25729300.0,5.029030524732552
FEBUXOSTAT,130621914.57000099,416645,313.50889743066875,109116043.41000031,393858.0,277.04412100300186
PRASUGREL HCL,130248890.98000017,319984,407.04813671933647,113744801.79999998,340582.0,333.9718534743468
SODIUM OXYBATE,129406963.07000004,13645,9483.837528032249,104915413.81999992,12628.0,8308.157572062079
ALLOPURINOL,126161591.87000027,7678066,16.43142841830225,67833557.70000134,7344142.0,9.236416956535065
TENOFOVIR DISOPROXIL FUMARATE,124563025.69000018,136732,911.0012702951773,111216030.41999993,130478.0,852.3738133631717
DOXYCYCLINE HYCLATE,123256085.43000096,2027982,60.777701887887055,148398298.3100023,1868959.0,79.40158040385171
CARBIDOPA/LEVODOPA,122044220.05999939,2835175,43.04645041664073,109579549.4999997,2735742.0,40.05478202988429
ASPIRIN/DIPYRIDAMOLE,117885396.99000013,306030,385.20862984021215,197977478.9499997,575910.0,343.76461417582556
EPOETIN ALFA,117849452.04999988,103228,1141.6423068353536,124269740.82000001,114146.0,1088.6911571145727
DEXTROMETHORPHAN HBR/QUINIDINE,112530037.94999972,305184,368.7284980536323,74400388.8100001,207713.0,358.18840809193506
ZOLPIDEM TARTRATE,111638215.44999972,7982299,13.98572208958844,106202399.60999982,9453915.0,11.23369520563701
NEPAFENAC,111149332.01000045,478098,232.48231954536612,91396706.9000005,509484.0,179.390730425294
CARVEDILOL,110981068.81000023,13553400,8.188430121593122,131202493.1199989,12968312.0,10.117160438459447
TOFACITINIB CITRATE,110262723.0900001,36861,2991.3112256856866,59694579.85000001,23450.0,2545.6110810234545
ABATACEPT,109815572.98000005,32284,3401.547917854047,82002108.41,28251.0,2902.6267533892606
ESCITALOPRAM OXALATE,109672474.2299997,7298951,15.025785791684271,143932714.40000108,6567062.0,21.917367979775594
DESVENLAFAXINE SUCCINATE,109305244.83000025,386727,282.6418761296735,95721750.06999943,405435.0,236.09641513436046
BECLOMETHASONE DIPROPIONATE,108892565.85999975,605373,179.87681290708332,93413357.56999995,551784.0,169.29334226798883
TRAMADOL HCL,108882321.19000216,13179146,8.261712950900018,127350113.42000006,12961028.0,9.825618262687193
VALGANCICLOVIR HCL,108597053.60999982,47587,2282.073961586144,131461940.33000004,45990.0,2858.489678843228
LATANOPROST,107473221.98999968,6990627,15.373903083371445,113988073.59000115,6202964.0,18.37638806061121
VALSARTAN/HYDROCHLOROTHIAZIDE,106956394.53000063,2792864,38.29631322183988,180271129.6499998,2996153.0,60.16753138107426
NIACIN,106295406.1999996,526030,202.07099633100697,169485305.0899993,759117.0,223.26638066332237
ENALAPRIL MALEATE,103833722.34000078,3652142,28.430910501289592,54760046.799999624,4035243.0,13.570445893840748
SERTRALINE HCL,103247596.15000015,11445034,9.021169893422785,119433605.86999923,10876252.0,10.981136320673631
BRINZOLAMIDE,102495489.21999994,375696,272.8149600208678,80243258.67000017,429483.0,186.8368682113149
ALPRAZOLAM,101993248.1199993,13550672,7.526803698001052,91070055.75999883,12776396.0,7.1279925700486135
NIFEDIPINE,100396279.57999967,2703833,37.1310948494229,122568427.71000154,2883643.0,42.50471632931037
FENOFIBRATE,100293681.62000066,1985913,50.502555560087806,113757912.80000012,2024953.0,56.17805094735538
DOFETILIDE,97592189.1599999,204159,478.0205093089205,72754590.17999966,186112.0,390.91831896922105
SORAFENIB TOSYLATE,97254324.7800001,9697,10029.320901309695,76034479.87999998,8905.0,8538.403130825376
HYDROCHLOROTHIAZIDE,96696610.04000045,16798918,5.756121319242135,100759244.5200007,16861223.0,5.975796922916013
ZIPRASIDONE HCL,96307775.04999936,857430,112.32144320819117,138283216.89000016,881346.0,156.90003346018494
EXENATIDE MICROSPHERES,95627979.20000003,158549,603.1446379352757,61961453.569999926,117599.0,526.8875889250753
FLUTICASONE/VILANTEROL,94787195.51999982,296396,319.7991724584671,17409888.60999999,57011.0,305.3777097402254
TIZANIDINE HCL,94190661.69999942,3236038,29.106784809078082,87168019.43000005,2738812.0,31.82694519740678
SOMATROPIN,93667749.63000017,19087,4907.4107837795445,75299530.63000003,17751.0,4241.988092501832
FLUOXETINE HCL,93209889.36000071,5926984,15.72636088776361,85189954.64000037,5678734.0,15.001575111635864
LANSOPRAZOLE,92994510.76000017,1408778,66.01076305848059,112182993.22000071,1487155.0,75.43463406302686
RIOCIGUAT,92754188.10000007,11461,8093.027493237943,35183105.529999994,4750.0,7406.969585263157
FESOTERODINE FUMARATE,92285346.69999991,347149,265.8378583835757,87763247.76000008,388436.0,225.9400461337262
DENOSUMAB,91433442.59000024,93277,980.2356699936773,67042586.690000065,73520.0,911.8959016594133
SILODOSIN,90619390.45999986,360404,251.4383593411834,73534543.12000036,360840.0,203.7871165059316
ETRAVIRINE,90177082.91000001,85573,1053.802985871712,87922742.01999995,89256.0,985.0625394371241
FINASTERIDE,89594554.1400004,4836945,18.52296318027193,94896631.58999933,4253784.0,22.30875653065584
DEXTROAMPHETAMINE/AMPHETAMINE,88297993.31000021,1031089,85.63566608702082,83917120.51999998,901263.0,93.11057984184414
GLIPIZIDE,88020029.51999897,7681457,11.45876746039182,94062704.02999857,7507791.0,12.528679078839378
PROPRANOLOL HCL,87480056.88000016,2097604,41.704753080181085,62829580.740000434,2003298.0,31.363072663178635
ISOSORBIDE MONONITRATE,87021241.0299991,5412272,16.078504744402924,95041690.59999849,5512837.0,17.240069060630397
MIRTAZAPINE,86870527.44000028,5443904,15.957395178166308,76590792.44000009,5099340.0,15.019746171073136
ECONAZOLE NITRATE,86834332.11999986,381494,227.6165080446871,23043887.65000009,387628.0,59.448459992570434
ATENOLOL,85579811.57999979,12022017,7.118590131755743,91367008.97000045,12504917.0,7.306486638016105
PREDNISONE,85180667.42999937,10473221,8.133187242969413,78104003.80000141,9597710.0,8.137774927560992
CHLORPROMAZINE HCL,82615280.76000011,211380,390.8377365881356,37506632.59999985,219998.0,170.48624351130397
COLLAGENASE CLOSTRIDIUM HIST.,82432927.81999972,280222,294.17007879466894,74574389.85999998,286136.0,260.6256810048368
DIFLUPREDNATE,81984505.4800002,527940,155.2913313634129,62466386.410000004,473207.0,132.00647160756287
RANITIDINE HCL,81764516.8399993,7024674,11.63961727476596,85060511.47000043,6909725.0,12.310260027714625
DOXAZOSIN MESYLATE,81367862.38000022,2483060,32.769188976504886,82894367.54000005,2593224.0,31.965756733702932
LORAZEPAM,81231855.78999926,9619766,8.444265254477008,77280078.45000054,9320151.0,8.291719570852504
PIOGLITAZONE HCL,81138899.56999947,2092320,38.77939300393796,144541939.48999897,2059229.0,70.19226103070565
LIDOCAINE/PRILOCAINE,80378030.09999932,443560,181.2111779691571,47136153.63000021,345503.0,136.42762473842546
URSODIOL,80186770.65999976,236699,338.77105801038346,46553875.22000004,232196.0,200.49387250426383
TRAZODONE HCL,79591820.41000016,10481832,7.593311971609558,78107963.09000158,9394579.0,8.314152565006008
CERTOLIZUMAB PEGOL,79325803.09999995,21876,3626.156660266957,65170900.2,19512.0,3340.0420356703567
BACLOFEN,79257829.31000039,3132174,25.30441454082704,55262440.92000008,2707786.0,20.408718015382338
RISPERIDONE,78704580.18000045,4243292,18.548000038649345,100491754.25000052,4412479.0,22.77444362908028
TICAGRELOR,78051333.22999987,238518,327.234561877929,43618960.76999997,151626.0,287.67467828736477
AMLODIPINE BESYLATE/BENAZEPRIL,77039291.26000054,1897782,40.59438400195625,120922113.35000038,2177542.0,55.53147234358758
MODAFINIL,76095221.83000007,149129,510.2644142319742,114870964.17999999,154555.0,743.2368035974248
OMBITA/PARITAP/RITON/DASABUVIR,74898878.98999998,2676,27989.117709267557,,,
LOSARTAN/HYDROCHLOROTHIAZIDE,73389052.19999954,5626540,13.0433716280342,93195608.2200005,5323313.0,17.507069041403447
MOXIFLOXACIN HCL,73226537.28999995,538620,135.95213191118032,70943260.45000038,612967.0,115.7374874177572
TOPIRAMATE,73052012.37000065,2408846,30.326559842348015,77833434.91999984,2236190.0,34.806270898268856
PAROXETINE HCL,72124580.00000036,4205014,17.152042775600833,74676045.65000163,4192117.0,17.813445008810973
SUCRALFATE,71342038.8700002,1164252,61.2771452142665,69869917.76999934,1121197.0,62.317253587014
ROFLUMILAST,71106928.04999988,253855,280.10844005436127,60161289.61999987,246584.0,243.97888597800292
AMITRIPTYLINE HCL,69716765.6400011,3219656,21.653482744740774,40794483.25000059,3445045.0,11.84149503126972
ASENAPINE MALEATE,68943451.25000013,105861,651.2639333654522,60067994.5400001,104617.0,574.1704937056129
EXEMESTANE,68115891.56000018,172645,394.5430887659659,59659040.59000002,160686.0,371.2771528944651
GLIMEPIRIDE,67994694.68999957,5705136,11.918154920408481,55751050.4299994,5436268.0,10.2553903578704
CITALOPRAM HYDROBROMIDE,67206171.99000108,9666692,6.952344399718237,77946684.97000036,9971417.0,7.817011862005205
HYDRALAZINE HCL,67063913.17000039,3671178,18.26768224531755,72653986.80000092,3401669.0,21.358335217212762
GOLIMUMAB,66603325.64000005,17695,3763.9630200621673,56797839.98000001,17602.0,3226.7833189410303
TIMOLOL MALEATE,66455063.39000022,2095162,31.718341297713597,64286828.02000009,2077441.0,30.94520037873523
"FENOFIBRATE,MICRONIZED",65981853.950000376,804580,82.00782265281312,73691632.25999999,875336.0,84.18668061178792
BEXAROTENE,65417648.47999999,2496,26208.99378205128,41124506.500000015,2622.0,15684.403699466062
DEFERASIROX,65103537.26000008,8408,7743.046772121798,72180540.74000004,9964.0,7244.13295262947
CALCIUM ACETATE,64352214.620000176,537818,119.6542596566128,73181657.34000024,515541.0,141.95118785896804
LOTEPREDNOL ETABONATE,63660307.07999997,328634,193.71187120018004,66011604.709999904,375360.0,175.86211825980368
IPRATROPIUM BROMIDE,62612492.749999866,839481,74.58476457477879,60823610.78999988,792577.0,76.74157941752017
ACLIDINIUM BROMIDE,62420384.139999904,191756,325.51984887043903,41943769.48999995,145213.0,288.84307527562925
CLONAZEPAM,62403082.74999999,9248392,6.7474521787138775,66882674.350000195,8960694.0,7.464006063592864
