generic_name,drug_name,num_claims,total_cost
ADAPALENE,DIFFERIN,129,22576.68
ADAPALENE/BENZOYL PEROXIDE,EPIDUO,78,19355.97
ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL,3317,2802347.2000000007
ADEFOVIR DIPIVOXIL,HEPSERA,488,563768.3
ADO-TRASTUZUMAB EMTANSINE,KADCYLA,124,793867.77
AFATINIB DIMALEATE,GILOTRIF,3978,26339062.94000001
AFLIBERCEPT,EYLEA,1953,4695581.410000001
AGALSIDASE BETA,FABRAZYME,642,8901849.099999998
ALBENDAZOLE,ALBENZA,223,1446848.1900000004
ALBIGLUTIDE,TANZEUM,16463,6759450.759999993
ALBUMIN HUMAN,ALBUMIN (HUMAN),259,32253.94
ALBUMIN HUMAN,ALBUTEIN,97,23921.48
ALBUMIN HUMAN,FLEXBUMIN,16,4808.53
ALBUTEROL SULFATE,ALBUTEROL SULFATE,583555,20520796.529999897
ALBUTEROL SULFATE,PROAIR HFA,8124260,497405691.18000174
ALBUTEROL SULFATE,PROAIR RESPICLICK,9667,534728.8599999999
ALBUTEROL SULFATE,PROVENTIL HFA,117351,9527895.479999978
ALBUTEROL SULFATE,VENTOLIN HFA,1958691,108505367.1200006
ALCAFTADINE,LASTACAFT,13778,2326647.57
ALCLOMETASONE DIPROPIONATE,ALCLOMETASONE DIPROPIONATE,19546,1197126.6599999992
ALCOHOL ANTISEPTIC PADS,ALCOHOL PADS,120336,3754793.4500000034
ALCOHOL ANTISEPTIC PADS,ALCOHOL PREP PADS,229600,8328133.499999986
ALCOHOL ANTISEPTIC PADS,ALCOHOL PREP SWABS,1541,7967.280000000001
ALCOHOL ANTISEPTIC PADS,ALCOHOL SWAB,4486,15974.939999999997
ALCOHOL ANTISEPTIC PADS,ALCOHOL SWABS,20926,62157.799999999974
ALCOHOL ANTISEPTIC PADS,ALCOHOL WIPES,1576,6900.88
ALCOHOL ANTISEPTIC PADS,B-D SINGLE USE ALCOHOL SWAB,293,921.3700000000001
ALCOHOL ANTISEPTIC PADS,CURITY ALCOHOL PREPS,696,2033.3
ALCOHOL ANTISEPTIC PADS,EASY TOUCH ALCOHOL PREP PADS,25337,114568.12999999995
ALCOHOL ANTISEPTIC PADS,SINGLE USE SWAB,157884,584651.8299999986
ALCOHOL ANTISEPTIC PADS,SURE COMFORT ALCOHOL,11939,97884.63999999996
ALCOHOL ANTISEPTIC PADS,SURE-PREP ALCOHOL PREP PADS,991,12805.0
ALCOHOL ANTISEPTIC PADS,ULTILET ALCOHOL SWAB,38,68.07000000000001
ALCOHOL ANTISEPTIC PADS,WEBCOL,1105,3366.170000000001
ALDESLEUKIN,PROLEUKIN,67,393612.74000000005
ALENDRONATE SODIUM,ALENDRONATE SODIUM,6895046,59678042.860000044
ALENDRONATE SODIUM,BINOSTO,2629,414702.94000000006
ALENDRONATE SODIUM,FOSAMAX,1198,141129.99000000002
ALENDRONATE SODIUM/VITAMIN D3,FOSAMAX PLUS D,2537,397780.53000000014
ALFUZOSIN HCL,ALFUZOSIN HCL ER,388864,8105135.229999964
ALFUZOSIN HCL,UROXATRAL,1936,1048368.5700000002
ALGLUCOSIDASE ALFA,LUMIZYME,344,10321955.110000001
ALIROCUMAB,PRALUENT PEN,60,68066.54000000001
ALISKIREN HEMIFUMARATE,TEKTURNA,82278,15740502.38
ALISKIREN/AMLODIPIN/HCTHIAZIDE,AMTURNIDE,29,3880.58
ALISKIREN/AMLODIPINE BESYLATE,TEKAMLO,82,12847.98
ALISKIREN/HYDROCHLOROTHIAZIDE,TEKTURNA HCT,13192,2429778.869999999
ALITRETINOIN,PANRETIN,25,130994.76999999999
ALLOPURINOL,ALLOPURINOL,7677707,126127452.09000026
ALLOPURINOL,ZYLOPRIM,359,34139.78
ALMOTRIPTAN MALATE,ALMOTRIPTAN MALATE,40,16288.67
ALMOTRIPTAN MALATE,AXERT,772,384703.49000000005
ALOGLIPTIN BENZ/METFORMIN HCL,KAZANO,2565,898160.4299999999
ALOGLIPTIN BENZ/PIOGLITAZONE,OSENI,8976,3381709.360000001
ALOGLIPTIN BENZOATE,NESINA,6302,2352299.930000002
ALOSETRON HCL,ALOSETRON HCL,459,648925.4299999999
ALOSETRON HCL,LOTRONEX,2279,4741885.860000001
ALPHA-1-PROTEINASE INHIBITOR,ARALAST NP,2925,23102246.17000002
ALPHA-1-PROTEINASE INHIBITOR,GLASSIA,1266,11811152.119999997
ALPHA-1-PROTEINASE INHIBITOR,PROLASTIN C,10938,101775251.24
ALPHA-1-PROTEINASE INHIBITOR,ZEMAIRA,5638,56113418.22000004
ALPRAZOLAM,ALPRAZOLAM,13499641,96644373.94999947
ALPRAZOLAM,ALPRAZOLAM ER,31289,934200.0500000017
ALPRAZOLAM,ALPRAZOLAM INTENSOL,121,15263.669999999998
ALPRAZOLAM,ALPRAZOLAM ODT,1810,202769.13999999996
ALPRAZOLAM,ALPRAZOLAM XR,6042,190581.8999999999
ALPRAZOLAM,XANAX,11434,3864426.49
ALPRAZOLAM,XANAX XR,335,141632.92
ALPROSTADIL,ALPROSTADIL,18,3873.91
ALTRETAMINE,HEXALEN,68,96536.23
AMANTADINE HCL,AMANTADINE,345419,35698481.65999996
AMBRISENTAN,LETAIRIS,54043,412801568.57000107
AMCINONIDE,AMCINONIDE,647,212069.58999999997
AMIFOSTINE CRYSTALLINE,AMIFOSTINE,21,38140.1
AMIKACIN SULFATE,AMIKACIN SULFATE,7429,550610.4000000003
AMILORIDE HCL,AMILORIDE HCL,37657,1526854.7900000012
AMILORIDE/HYDROCHLOROTHIAZIDE,AMILORIDE-HYDROCHLOROTHIAZIDE,41018,709190.5100000009
AMINO ACIDS 10 %,TROPHAMINE,25,1885.11
AMINO ACIDS 5 %/DEXTROSE 15 %,CLINIMIX,108,42840.630000000005
AMINO ACIDS 5 %/DEXTROSE 20 %,CLINIMIX,59,28475.270000000004
AMINO ACIDS 5 %/DEXTROSE 25 %,CLINIMIX,15,1480.5
AMINO ACIDS 8 %,HEPATAMINE,41,15781.060000000001
AMINOCAPROIC ACID,AMICAR,11,18195.0
AMINOCAPROIC ACID,AMINOCAPROIC ACID,430,248080.17
AMINOLEVULINIC ACID HCL,LEVULAN,27,9394.2
AMIODARONE HCL,AMIODARONE HCL,2044203,43063268.679999925
AMIODARONE HCL,CORDARONE,155,27354.500000000004
AMIODARONE HCL,PACERONE,6442,472949.1699999997
AMITRIP HCL/CHLORDIAZEPOXIDE,CHLORDIAZEPOXIDE-AMITRIPTYLINE,8626,611782.5500000004
AMITRIPTYLINE HCL,AMITRIPTYLINE HCL,3219656,69716765.6400011
AMLODIPINE BES/OLMESARTAN MED,AZOR,213799,59861399.68999982
AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,36386051,252124963.60999787
AMLODIPINE BESYLATE,NORVASC,20197,3162375.5799999926
AMLODIPINE BESYLATE/BENAZEPRIL,AMLODIPINE BESYLATE-BENAZEPRIL,1892113,75665318.25000049
AMLODIPINE BESYLATE/BENAZEPRIL,LOTREL,5669,1373973.0100000007
AMLODIPINE/ATORVASTATIN,AMLODIPINE-ATORVASTATIN,47417,11119690.990000028
AMLODIPINE/ATORVASTATIN,CADUET,1635,488608.5799999999
AMLODIPINE/VALSARTAN,AMLODIPINE-VALSARTAN,213213,27984539.240000002
AMLODIPINE/VALSARTAN,EXFORGE,41972,10253431.379999986
AMLODIPINE/VALSARTAN/HCTHIAZID,AMLODIPINE-VALSARTAN-HCTZ,48425,8875781.939999996
AMLODIPINE/VALSARTAN/HCTHIAZID,EXFORGE HCT,10893,2506491.16
AMMONIUM LACTATE,AMMONIUM LACTATE,645577,14312239.040000012
AMMONIUM LACTATE,LACLOTION,511,7383.54
AMOXAPINE,AMOXAPINE,6014,306362.4599999999
AMOXICILLIN,AMOXICILLIN,5240615,22589695.87999981
AMOXICILLIN/POTASSIUM CLAV,AMOX TR-POTASSIUM CLAVULANATE,384,5533.7300000000005
AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN-CLAVULANATE POT ER,4650,472103.88000000024
AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN-CLAVULANATE POTASS,2588229,37148887.72000073
AMPHOTERICIN B,AMPHOTERICIN B,685,108026.64999999998
AMPHOTERICIN B LIPID COMPLEX,ABELCET,318,262920.31000000006
AMPHOTERICIN B LIPOSOME,AMBISOME,163,155654.14
AMPICILLIN SODIUM,AMPICILLIN SODIUM,3934,616051.0400000002
AMPICILLIN SODIUM/SULBACTAM NA,AMPICILLIN-SULBACTAM,4782,509346.8899999998
AMPICILLIN SODIUM/SULBACTAM NA,UNASYN,81,8841.23
AMPICILLIN TRIHYDRATE,AMPICILLIN TRIHYDRATE,59966,399735.0199999999
ANAGRELIDE HCL,AGRYLIN,73,57712.52999999999
ANAGRELIDE HCL,ANAGRELIDE HCL,25298,3451266.170000003
ANAKINRA,KINERET,917,3171781.1999999997
ANASTROZOLE,ANASTROZOLE,1107998,20213823.729999963
ANASTROZOLE,ARIMIDEX,2031,1078453.4700000002
ANIDULAFUNGIN,ERAXIS (WATER DILUENT),93,85325.19
ANTHRALIN,DRITHOCREME HP,12,1299.98
ANTHRALIN MICRONIZED,ZITHRANOL,12,6950.72
ANTIPYRINE/BENZOCAINE,ANTIPYRINE-BENZOCAINE,181,2042.4099999999999
APIXABAN,ELIQUIS,1965011,766124685.6000074
APOMORPHINE HCL,APOKYN,1195,24052754.380000006
APRACLONIDINE HCL,APRACLONIDINE HCL,2159,207482.18
APRACLONIDINE HCL,IOPIDINE,132,42249.369999999995
APREMILAST,OTEZLA,16846,37503443.26999997
APREPITANT,EMEND,8767,5464759.46
ARFORMOTEROL TARTRATE,BROVANA,11723,5449881.590000002
ARIPIPRAZOLE,ABILIFY,1329760,1251114220.5100121
ARIPIPRAZOLE,ABILIFY DISCMELT,315,318479.00999999995
ARIPIPRAZOLE,ABILIFY MAINTENA,69954,112466715.49000022
ARIPIPRAZOLE,ARIPIPRAZOLE,963138,617429096.8900007
ARIPIPRAZOLE LAUROXIL,ARISTADA,51,88676.81
ARMODAFINIL,NUVIGIL,66074,40160687.53999995
ARTEMETHER/LUMEFANTRINE,COARTEM,325,85063.08
ASENAPINE MALEATE,SAPHRIS,105861,68943451.25000013
ASPIRIN/DIPYRIDAMOLE,AGGRENOX,272176,107101039.13000031
ASPIRIN/DIPYRIDAMOLE,ASPIRIN-DIPYRIDAMOLE ER,33854,10784357.859999986
ATAZANAVIR SULFATE,REYATAZ,163765,214993773.9199998
ATAZANAVIR SULFATE/COBICISTAT,EVOTAZ,3472,4954748.479999999
ATENOLOL,ATENOLOL,12017358,84081969.85000008
ATENOLOL,TENORMIN,4659,1497841.730000001
ATENOLOL/CHLORTHALIDONE,ATENOLOL-CHLORTHALIDONE,471286,9839833.87999996
ATENOLOL/CHLORTHALIDONE,TENORETIC 100,65,6518.21
ATENOLOL/CHLORTHALIDONE,TENORETIC 50,190,39910.08
ATOMOXETINE HCL,STRATTERA,76028,28853412.99999997
ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,36852610,681111755.1600162
ATORVASTATIN CALCIUM,LIPITOR,35972,10871797.300000036
ATOVAQUONE,ATOVAQUONE,11332,14133531.660000008
ATOVAQUONE,MEPRON,777,1194819.4299999997
ATOVAQUONE/PROGUANIL HCL,ATOVAQUONE-PROGUANIL HCL,18189,2168150.550000001
ATROPINE SULFATE,ATROPINE SULFATE,22753,651545.5300000004
ATROPINE SULFATE,ISOPTO ATROPINE,14,738.36
AURANOFIN,RIDAURA,779,835899.1399999999
AXITINIB,INLYTA,3328,35703936.26
AZACITIDINE,AZACITIDINE,202,983853.04
AZACITIDINE,VIDAZA,26,153736.87
AZATHIOPRINE,AZASAN,379,133856.4
AZATHIOPRINE,AZATHIOPRINE,296553,14525584.40999997
AZATHIOPRINE,IMURAN,618,224594.57
AZELAIC ACID,AZELEX,435,158132.03000000003
AZELAIC ACID,FINACEA,16792,4550480.989999999
AZELASTINE HCL,ASTEPRO,2870,464761.54
AZELASTINE HCL,AZELASTINE HCL,725737,45117515.74000015
AZELASTINE/FLUTICASONE,DYMISTA,61414,11948775.700000009
AZILSARTAN MED/CHLORTHALIDONE,EDARBYCLOR,31350,5676479.460000009
AZILSARTAN MEDOXOMIL,EDARBI,28449,5363215.649999999
AZITHROMYCIN,AZASITE,24734,4260680.619999999
AZITHROMYCIN,AZITHROMYCIN,6550162,55124938.9799995
AZITHROMYCIN,ZITHROMAX,140,41731.26
AZITHROMYCIN,ZITHROMAX TRI-PAK,12,4913.64
AZITHROMYCIN,ZMAX,23,2899.61
AZTREONAM,AZACTAM,330,122676.29000000001
AZTREONAM,AZTREONAM,952,554140.2200000001
AZTREONAM LYSINE,CAYSTON,1625,10887786.68
AZTREONAM/DEXTROSE-WATER,AZACTAM-ISO-OSMOTIC DEXTROSE,131,49962.57
B COMPLEX & C NO.20/FOLIC ACID,NEPHROCAPS,15,1368.48
B COMPLEX & C NO.20/FOLIC ACID,RENAL CAPS,633,12619.030000000002
B COMPLEX & C NO.20/FOLIC ACID,RENO CAPS,631,9435.179999999998
B COMPLEX & C NO.20/FOLIC ACID,TRIPHROCAPS,111,1321.35
B COMPLEX & C NO.20/FOLIC ACID,VIRT-CAPS,65,1124.5
BACITRACIN,BACIIM,11,1486.23
BACITRACIN,BACITRACIN,74883,5276624.230000002
BACITRACIN/POLYMYXIN B SULFATE,AK-POLY-BAC,1459,27250.490000000005
BACITRACIN/POLYMYXIN B SULFATE,BACITRACIN-POLYMYXIN,13954,266831.0599999999
BACITRACIN/POLYMYXIN B SULFATE,POLYCIN,529,10044.899999999996
BACLOFEN,BACLOFEN,3131961,78968906.91000049
BACLOFEN,GABLOFEN,130,176972.35
BACLOFEN,LIORESAL INTRATHECAL,83,111950.05
BALANCED SALT IRRIG SOLN NO.2,BSS,63,618.36
BALSALAZIDE DISODIUM,BALSALAZIDE DISODIUM,71360,12581332.599999998
BALSALAZIDE DISODIUM,COLAZAL,35,22720.96
BALSALAZIDE DISODIUM,GIAZO,36,16906.84
BCG LIVE,BCG (TICE STRAIN),167,75692.18
BECAPLERMIN,REGRANEX,2868,4146157.3599999994
BECLOMETHASONE DIPROPIONATE,BECONASE AQ,1310,306757.39999999997
BECLOMETHASONE DIPROPIONATE,QNASL,12036,2070590.9600000016
BECLOMETHASONE DIPROPIONATE,QNASL CHILDREN,31,4619.69
BECLOMETHASONE DIPROPIONATE,QVAR,591996,106510597.80999973
BEDAQUILINE FUMARATE,SIRTURO,17,80555.41
BELATACEPT,NULOJIX,300,596842.62
BELIMUMAB,BENLYSTA,1872,4400954.469999999
BENAZEPRIL HCL,BENAZEPRIL HCL,2908657,24586689.880000256
BENAZEPRIL HCL,LOTENSIN,549,42171.96
BENAZEPRIL/HYDROCHLOROTHIAZIDE,BENAZEPRIL-HYDROCHLOROTHIAZIDE,295874,20134482.130000077
BENAZEPRIL/HYDROCHLOROTHIAZIDE,LOTENSIN HCT,11,670.12
BENDAMUSTINE HCL,TREANDA,120,1064190.22
BENZOCAINE,PINNACAINE,283,368762.45
BENZONATATE,BENZONATATE,10156,119016.93000000007
BENZTROPINE MESYLATE,BENZTROPINE MESYLATE,2112119,22979219.04000005
BEPOTASTINE BESILATE,BEPREVE,23887,5710466.430000001
BESIFLOXACIN HCL,BESIVANCE,249547,34315114.47999994
BETAINE,CYSTADANE,452,1019367.2000000001
BETAMET ACET/BETAMET NA PH,BETAMETHASONE ACETATE-SOD PHOS,232,8659.71
BETAMET ACET/BETAMET NA PH,CELESTONE,53,1986.25
BETAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE,222266,15313950.319999967
BETAMETHASONE VALERATE,BETAMETHASONE VALERATE,118906,4938016.499999996
BETAMETHASONE/PROPYLENE GLYC,BETAMETHASONE DIPROPIONATE,115361,7459489.740000017
BETAMETHASONE/PROPYLENE GLYC,DIPROLENE,15,2702.49
BETAMETHASONE/PROPYLENE GLYC,DIPROLENE AF,12,2213.95
BETAXOLOL HCL,BETAXOLOL HCL,17105,1153454.9099999985
BETAXOLOL HCL,BETOPTIC S,13793,4311568.500000005
BETHANECHOL CHLORIDE,BETHANECHOL CHLORIDE,165086,10776260.38000005
BEVACIZUMAB,AVASTIN,3195,16870613.349999998
BEXAROTENE,BEXAROTENE,276,6533525.99
BEXAROTENE,TARGRETIN,2220,58884122.48999999
BICALUTAMIDE,BICALUTAMIDE,252846,7955792.549999995
BICALUTAMIDE,CASODEX,233,130994.00999999998
BIMATOPROST,BIMATOPROST,1602,183266.08999999997
BIMATOPROST,LUMIGAN,1920829,391642620.3299987
BISAC/NACL/NAHCO3/KCL/PEG 3350,GAVILYTE-H AND BISACODYL,116,7534.879999999999
BISMUTH/METRONID/TETRACYCLINE,PYLERA,346,217853.57
BISOPROLOL FUMARATE,BISOPROLOL FUMARATE,475747,12717945.949999964
BISOPROLOL FUMARATE,ZEBETA,34,6814.9
BISOPROLOL FUMARATE/HCTZ,BISOPROLOL-HYDROCHLOROTHIAZIDE,612040,6248395.73000001
BISOPROLOL FUMARATE/HCTZ,ZIAC,524,92186.19
BLINATUMOMAB,BLINCYTO,14,206824.08
BOCEPREVIR,VICTRELIS,11,80014.0
BORTEZOMIB,VELCADE,1547,8812051.100000003
BOSENTAN,TRACLEER,35926,304009912.4699999
BOSUTINIB,BOSULIF,1793,16829488.680000003
BRENTUXIMAB VEDOTIN,ADCETRIS,15,208201.73
BREXPIPRAZOLE,REXULTI,1536,1301760.18
BRIMONIDINE TARTRATE,ALPHAGAN P,769916,144309045.17000055
BRIMONIDINE TARTRATE,BRIMONIDINE TARTRATE,1153428,72160026.67000012
BRIMONIDINE TARTRATE,MIRVASO,304,103442.08999999998
BRIMONIDINE TARTRATE/TIMOLOL,COMBIGAN,1065426,180709555.860001
BRINZOLAMIDE,AZOPT,375696,102495489.21999994
BRINZOLAMIDE/BRIMONIDINE TART,SIMBRINZA,162157,22351425.020000003
BROMFENAC SODIUM,BROMFENAC SODIUM,39683,5517979.629999999
BROMFENAC SODIUM,PROLENSA,223196,48855916.00999995
BROMOCRIPTINE MESYLATE,BROMOCRIPTINE MESYLATE,24741,5754690.480000001
BROMOCRIPTINE MESYLATE,CYCLOSET,5371,2426157.020000001
BROMPHENIRAMINE/PSEUDOEPHED/DM,BROMFED DM,116,4385.8
BUDESONIDE,BUDESONIDE,144928,41980647.00000003
BUDESONIDE,BUDESONIDE EC,108975,87407334.59999971
BUDESONIDE,ENTOCORT EC,492,762505.4100000001
BUDESONIDE,PULMICORT,2919,1906514.7699999998
BUDESONIDE,PULMICORT FLEXHALER,40222,9099422.909999995
BUDESONIDE,RHINOCORT AQUA,864,148489.7
BUDESONIDE,UCERIS,4218,6375764.2700000005
BUDESONIDE/FORMOTEROL FUMARATE,SYMBICORT,3085330,994414653.0600026
BUMETANIDE,BUMETANIDE,984803,41911798.62999985
BUPIVACAINE HCL,BUPIVACAINE HCL,77,1111.6799999999998
BUPIVACAINE HCL,MARCAINE,27,409.46000000000004
BUPIVACAINE HCL/PF,BUPIVACAINE HCL,34,400.45
BUPIVACAINE HCL/PF,MARCAINE,24,89.28
BUPRENORPHINE,BUTRANS,137793,49707716.18999987
BUPRENORPHINE HCL,BUPRENEX,375,825013.3300000001
BUPRENORPHINE HCL,BUPRENORPHINE HCL,76281,9324007.649999987
BUPRENORPHINE HCL/NALOXONE HCL,BUNAVAIL,819,221613.05000000005
BUPRENORPHINE HCL/NALOXONE HCL,BUPRENORPHINE-NALOXONE,117879,30931594.24000003
BUPRENORPHINE HCL/NALOXONE HCL,SUBOXONE,493794,154271359.96000022
BUPRENORPHINE HCL/NALOXONE HCL,ZUBSOLV,3389,990386.6000000001
BUPROPION HBR,APLENZIN,1061,2165240.35
BUPROPION HCL,BUPROBAN,56,2062.0499999999997
BUPROPION HCL,BUPROPION HCL,382165,13230317.530000042
BUPROPION HCL,BUPROPION HCL SR,1809937,42807547.8399996
BUPROPION HCL,BUPROPION XL,2781562,112169576.6300007
BUPROPION HCL,FORFIVO XL,1250,357600.0999999999
BUPROPION HCL,WELLBUTRIN,455,105952.14
BUPROPION HCL,WELLBUTRIN SR,3164,1080211.97
BUPROPION HCL,WELLBUTRIN XL,11832,17276843.55000002
BUSPIRONE HCL,BUSPIRONE HCL,2663506,45377917.91000034
BUTABARBITAL SODIUM,BUTISOL SODIUM,302,64481.840000000004
BUTALB/ACETAMINOPHEN/CAFFEINE,BUTALBITAL-ACETAMINOPHEN-CAFFE,440815,22908713.499999855
BUTALB/ACETAMINOPHEN/CAFFEINE,CAPACET,85,3132.4300000000003
BUTALB/ACETAMINOPHEN/CAFFEINE,ESGIC,194,30710.85
BUTALB/ACETAMINOPHEN/CAFFEINE,FIORICET,1118,400348.28999999986
BUTALB/ACETAMINOPHEN/CAFFEINE,MARGESIC,29,1781.87
BUTALB/ACETAMINOPHEN/CAFFEINE,ZEBUTAL,104,11499.369999999999
BUTALBIT/ACETAMIN/CAFF/CODEINE,BUTALB-ACETAMINOPH-CAFF-CODEIN,1973,687271.0500000003
BUTALBIT/ACETAMIN/CAFF/CODEINE,BUTALB-CAFF-ACETAMINOPH-CODEIN,27365,2474259.1299999943
BUTALBIT/ACETAMIN/CAFF/CODEINE,FIORICET WITH CODEINE,319,203010.57
BUTALBITAL/ACETAMINOPHEN,BUPAP,406,326339.44999999995
BUTALBITAL/ACETAMINOPHEN,BUTALBITAL-ACETAMINOPHEN,4095,257961.7999999999
BUTALBITAL/ACETAMINOPHEN,TENCON,47,2172.2999999999997
BUTALBITAL/ASPIRIN/CAFFEINE,BUTALBITAL-ASPIRIN-CAFFEINE,24135,1761187.430000001
BUTALBITAL/ASPIRIN/CAFFEINE,FIORINAL,514,159273.64999999997
BUTENAFINE HCL,MENTAX,259,48032.90000000001
BUTOCONAZOLE NITRATE,GYNAZOLE 1,24,2110.7
BUTORPHANOL TARTRATE,BUTORPHANOL TARTRATE,29548,2435239.170000002
C1 ESTERASE INHIBITOR,BERINERT,263,20117931.48
C1 ESTERASE INHIBITOR,CINRYZE,1448,80171865.31999998
"C1 ESTERASE INHIBITOR, RECOMB",RUCONEST,72,3262023.96
CABAZITAXEL,JEVTANA,26,241284.69
CABERGOLINE,CABERGOLINE,31670,4505981.719999999
CABOZANTINIB S-MALATE,COMETRIQ,286,2962063.5299999993
CALCIPOTRIENE,CALCIPOTRIENE,55807,24153233.41000007
CALCIPOTRIENE,CALCITRENE,19,12614.55
CALCIPOTRIENE,DOVONEX,197,209184.67
CALCIPOTRIENE/BETAMETHASONE,CALCIPOTRIENE-BETAMETHASONE DP,1285,1107826.1299999997
CALCIPOTRIENE/BETAMETHASONE,TACLONEX,884,1051059.83
"CALCITONIN,SALMON,SYNTHETIC",CALCITONIN-SALMON,189843,12274256.549999978
"CALCITONIN,SALMON,SYNTHETIC",FORTICAL,15062,1068363.4899999998
"CALCITONIN,SALMON,SYNTHETIC",MIACALCIN,863,2910766.9000000004
CALCITRIOL,CALCITRIOL,949529,24513120.749999925
CALCITRIOL,ROCALTROL,7860,314493.93000000005
CALCITRIOL,VECTICAL,2705,447231.6799999998
CALCIUM ACETATE,CALCIUM ACETATE,532557,63447875.75000015
CALCIUM ACETATE,ELIPHOS,3351,485305.85000000015
CALCIUM ACETATE,PHOSLO,11,1409.76
CALCIUM ACETATE,PHOSLYRA,1899,417623.26
CALCIUM GLUCONATE,CALCIUM GLUCONATE,293,33696.28999999999
CANAGLIFLOZIN,INVOKANA,681203,308077486.42000043
CANAGLIFLOZIN/METFORMIN HCL,INVOKAMET,19252,7809920.089999995
CANAKINUMAB/PF,ILARIS,61,1409580.25
CANDESARTAN CILEXETIL,ATACAND,5760,758536.0900000001
CANDESARTAN CILEXETIL,CANDESARTAN CILEXETIL,77247,8217528.170000011
CANDESARTAN/HYDROCHLOROTHIAZID,ATACAND HCT,1755,248446.9599999999
CANDESARTAN/HYDROCHLOROTHIAZID,CANDESARTAN-HYDROCHLOROTHIAZID,13000,1169005.93
CAPTOPRIL,CAPTOPRIL,207133,19447612.75999998
CAPTOPRIL/HYDROCHLOROTHIAZIDE,CAPTOPRIL-HYDROCHLOROTHIAZIDE,8990,788185.7899999995
CARBAMAZEPINE,CARBAMAZEPINE,842060,62902205.92999982
CARBAMAZEPINE,CARBAMAZEPINE ER,320843,43985265.12999999
